temperature,label
24.96714153,warm
18.61735699,cool
26.47688538,warm
35.23029856,hot
17.65846625,cool
17.65863043,cool
35.79212816,hot
27.67434729,warm
15.30525614,cool
25.42560044,warm
15.36582307,cool
15.34270246,cool
22.41962272,warm
0.867197553,cold
2.750821675,cold
14.37712471,cool
9.871688797,cold
23.14247333,warm
10.91975924,cool
5.876962987,cold
34.65648769,hot
17.742237,cool
20.67528205,cool
5.752518138,cold
14.55617275,cool
21.1092259,warm
8.490064226,cold
23.75698018,warm
13.9936131,cool
17.0830625,cool
13.98293388,cool
38.52278185,hot
19.86502775,cool
9.42289071,cold
28.22544912,warm
7.7915635,cold
22.08863595,warm
0.403298761,cold
6.718139511,cold
21.96861236,warm
27.3846658,warm
21.71368281,warm
18.84351718,cool
16.98896304,cool
5.214780096,cold
12.80155792,cool
15.39361229,cool
30.57122226,hot
23.4361829,warm
2.369598446,cold
23.24083969,warm
16.1491772,cool
13.23078,cool
26.11676289,warm
30.30999522,hot
29.31280119,warm
11.60782477,cool
16.90787624,cool
23.31263431,warm
29.75545127,warm
15.20825762,cool
18.14341023,cool
8.93665026,cold
8.037933759,cold
28.12525822,warm
33.56240029,hot
19.27989878,cool
30.03532898,hot
23.61636025,warm
13.54880245,cool
23.61395606,warm
35.38036566,hot
19.64173961,cool
35.64643656,hot
-6.197451041,cold
28.21902504,warm
20.87047068,cool
17.0099265,cool
20.91760777,cool
0.124310854,cold
17.80328112,cool
23.57112572,warm
34.77894045,hot
14.81729782,cool
11.91506397,cool
14.98242956,cool
29.15402118,warm
23.2875111,warm
14.70239796,cool
25.13267433,warm
20.97077549,cool
29.68644991,warm
12.97946906,cool
16.72337853,cool
16.07891847,cool
5.364850519,cold
22.96120277,warm
22.61055272,warm
20.05113457,cool
17.65412867,cool
5.846292579,cold
15.79354677,cool
16.57285483,cool
11.97722731,cool
18.38714288,cool
24.04050857,warm
38.86185901,hot
21.74577813,warm
22.57550391,warm
19.25554084,cool
0.812287847,cold
19.73486125,cool
20.6023021,cool
44.63242112,hot
18.07639035,cool
23.01547342,warm
19.6528823,cool
8.313219624,cold
31.42822815,hot
27.51933033,warm
27.91031947,warm
10.90612545,cool
34.02794311,hot
5.981489372,cold
25.86857094,warm
41.90455626,hot
10.09463675,cool
14.3370227,cool
20.99651365,cool
14.96524346,cool
4.493365689,cold
20.68562975,cool
9.376962863,cold
24.73592431,warm
10.80575766,cool
35.49934405,hot
12.16746708,cool
16.77938484,cool
28.13517217,warm
7.691356836,cold
22.27459935,warm
33.07142754,hot
3.925167654,cold
21.84633859,warm
22.59882794,warm
27.81822872,warm
7.630492891,cold
6.795433869,cold
25.21941566,warm
22.96984673,warm
22.5049285,warm
23.46448209,warm
13.19975278,cool
22.32253697,warm
22.93072473,warm
12.85648582,cool
38.65774511,hot
24.73832921,warm
8.086965028,cold
26.56553609,warm
10.2531833,cool
27.87084604,warm
31.58595579,hot
11.79317682,cool
29.63376129,warm
24.12780927,warm
28.2206016,warm
38.96792983,hot
17.54611884,cool
12.46263836,cool
11.1048557,cool
11.84189715,cool
19.22898291,cool
23.41151975,warm
22.76690799,warm
28.27183249,warm
20.13001892,cool
34.53534077,hot
17.35343167,cool
47.20169167,hot
26.25667348,warm
11.42842444,cool
9.291075019,cold
24.82472415,warm
17.76537215,cool
27.14000494,warm
24.73237625,warm
19.27171087,cool
11.53206282,cool
4.851527753,cold
15.53485048,cool
28.56398794,warm
22.14093744,warm
7.542612213,cold
21.73180926,warm
23.8531738,warm
11.16142564,cool
21.53725106,warm
20.58208718,cool
8.570297022,cold
23.5778736,warm
25.60784526,warm
30.83051243,hot
30.53802052,hot
6.22330632,cold
10.6217496,cool
25.15035267,warm
25.13785951,warm
25.15047686,warm
58.52731491,hot
25.70890511,warm
31.3556564,hot
29.54001763,warm
26.51391251,warm
16.84730755,cool
27.5896922,warm
12.27174785,cool
17.63181393,cool
15.14636452,cool
20.81874139,cool
43.14658567,hot
1.327348074,cold
26.8626019,warm
3.872841288,cold
15.28068134,cool
30.88950597,hot
20.64280019,cool
9.222552221,cold
12.84696291,cool
26.79597749,warm
12.69633368,cool
22.1645859,warm
20.4557184,cool
13.48399652,cool
41.43944089,hot
26.33919022,warm
-0.251425867,cold
21.86454315,warm
